Comment,Designator,Footprint,LCSC
MX_SW_solder,SW3,SW_MX_1u,
MX_SW_solder,SW21,SW_MX_1u,
MX_SW_solder,SW22,SW_MX_1u,
MX_SW_solder,SW17,SW_MX_1u,
MX_SW_solder,SW27,SW_MX_1u,
MX_SW_solder,SW15,SW_MX_1u,
MX_SW_solder,SW29,SW_MX_1u,
MX_SW_solder,SW1,SW_MX_1u,
MX_SW_solder,SW12,SW_MX_1u,
MX_SW_solder,SW13,SW_MX_1u,
MX_SW_solder,SW6,SW_MX_1u,
MX_SW_solder,SW28,SW_MX_1u,
MX_SW_solder,SW9,SW_MX_1u,
MX_SW_solder,SW19,SW_MX_1u,
MX_SW_solder,SW20,SW_MX_1u,
MX_stab,S32,STAB_MX_P_2u,
MX_SW_solder,SW31,SW_MX_1u,
MX_SW_solder,SW7,SW_MX_1u,
MX_SW_solder,SW4,SW_MX_1u,
MX_SW_solder,SW5,SW_MX_1u,
MX_SW_solder,SW18,SW_MX_1u,
MX_SW_solder,SW11,SW_MX_1u,
MX_SW_solder,SW2,SW_MX_1u,
MX_SW_solder,SW23,SW_MX_1u,
MX_SW_solder,SW14,SW_MX_1u,
MX_SW_solder,SW24,SW_MX_1u,
MX_stab,S31,STAB_MX_P_2u,
MX_SW_solder,SW25,SW_MX_1u,
MX_SW_solder,SW8,SW_MX_1u,
MX_SW_solder,SW16,SW_MX_1u,
MX_SW_solder,SW32,SW_MX_1u,
MX_SW_solder,SW10,SW_MX_1u,
MX_SW_solder,SW30,SW_MX_1u,
MX_SW_solder,SW26,SW_MX_1u,
D_Small,D21,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D16,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D7,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D11,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D15,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D18,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D17,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D28,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D2,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D1,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D25,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D19,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D24,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D31,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D22,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D30,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D29,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D3,D_DO-35_SOD27_P7.62mm_Horizontal,
~,U1,Pro-Micro,
D_Small,D5,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D27,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D13,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D23,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D26,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D20,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D14,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D8,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D6,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D10,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D4,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D32,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D9,D_DO-35_SOD27_P7.62mm_Horizontal,
D_Small,D12,D_DO-35_SOD27_P7.62mm_Horizontal,
